date, pm25, pm10, o3, no2, so2, co
2023/1/10, 224, 149, 61, 22, 10, 18
2023/1/11, 213, 134, 62, 20, 9, 18
2023/1/12, 199, 139, 34, 13, 12, 12
2023/1/13, 213, 158, 58, 16, 7, 11
2023/1/14, 228, 149, 77, 18, 11, 15
2023/1/15, 216, 161, 59, 24, , 21
2023/1/16, 232, 181, 59, 23, , 21
2023/1/17, 254, 184, 60, 17, , 25
2023/1/18, 251, 191, 57, 20, , 27
2023/1/19, 260, 169, 64, 17, , 24
2023/1/20, 240, 150, 52, 16, 6, 24
2023/1/21, 217, 127, 49, 14, 7, 
2023/1/22, 194, 140, 47, 16, 6, 12
2023/1/23, 205, 144, 44, 15, 6, 12
2023/1/24, 208, 151, 53, 16, 5, 13
2023/1/25, 214, 170, 65, 17, 6, 14
2023/1/26, 237, 185, 59, 16, 5, 18
2023/1/27, 249, 161, 40, 16, 10, 18
2023/1/28, 225, 117, 39, 13, 4, 14
2023/1/29, 187, 127, 43, 14, 4, 14
2023/1/30, 197, 161, 52, 15, 4, 13
2023/1/31, 213, 144, 42, 13, 6, 19
2023/2/1, 205, 120, 50, 13, 7, 14
2023/2/2, 188, 144, 54, 15, 7, 17
2023/2/3, 210, 147, 63, 16, 6, 18
2023/2/4, 212, 136, 62, 15, 5, 21
2023/2/5, 203, 149, 64, 17, 7, 18
2023/2/6, 212, 134, 38, 15, 6, 17
2023/2/7, 199, 163, 51, 17, 6, 19
2023/2/8, 229, 158, 59, 17, 9, 23
2023/2/9, 224, 153, 50, 16, 6, 24
2023/2/10, 212, 143, 40, 14, 6, 24
2023/2/11, 206, , , , , 
2023/2/14, 211, 151, 46, 18, 13, 25
2023/2/15, 216, 173, 34, 18, 10, 24
2023/2/16, 234, 163, 35, 19, 15, 28
2023/2/17, 228, 149, 33, 18, 8, 26
2023/2/18, 214, 143, 51, 18, 9, 28
2023/2/19, 208, 140, 34, 19, 9, 30
2023/2/20, 204, 144, 30, 19, 6, 24
2023/2/21, 212, 112, 21, 18, 5, 4
2023/2/22, 182, 147, 36, 20, 6, 8
2023/2/23, 213, 176, 39, 20, 7, 7
2023/2/24, 236, 164, 31, 20, 7, 6
2023/2/25, 226, 149, 32, 19, 7, 6
2023/2/26, 215, 147, 23, 19, 6, 5
2023/2/27, 213, 148, 30, 20, 8, 6
2023/2/28, 214, 159, 21, 20, 7, 8
2023/3/1, 225, 167, 30, 21, 7, 7
2023/3/2, 230, 196, 27, 22, 11, 8
2023/3/3, 255, , , , , 
2023/3/21, 71, , , , , 
2023/3/25, 131, 79, 17, 12, 2, 1
2023/3/26, 158, 75, 17, 12, 3, 5
2023/3/27, 155, 98, 18, 13, 4, 6
2023/3/28, 173, 91, 17, 12, 4, 11
2023/3/29, 169, 84, 14, 10, 2, 8
2023/3/30, 164, 60, 9, 8, 5, 1
2023/3/31, 134, , , , , 
2022/10/1, 106, 63, , 9, 3, 17
2022/10/2, 115, 53, 10, 6, 3, 7
2022/10/3, 89, 60, 20, 3, 5, 8
2022/10/4, 105, , , , , 
2022/10/7, 45, 14, 11, 2, 2, 12
2022/10/8, 31, , , , , 
2022/10/10, 76, , , , , 
2022/10/12, 83, , , , , 
2022/10/14, 83, 74, 31, 1, 8, 10
2022/10/15, 111, 93, 17, 7, 3, 9
2022/10/16, 135, , , , , 
2022/10/24, 168, 177, 48, 7, 13, 14
2022/10/25, 191, 116, 40, 8, 8, 14
2022/10/26, 161, 139, 44, 9, 12, 15
2022/10/27, 173, 97, 45, 10, 8, 14
2022/10/28, 152, 104, 38, 9, 9, 14
2022/10/29, 157, 99, 41, 10, 11, 14
2022/10/30, 151, 99, 45, 12, 13, 15
2022/10/31, 156, 111, 43, 13, 9, 17
2022/11/1, 157, 115, 50, 12, 9, 18
2022/11/2, 165, 108, 42, 13, 8, 18
2022/11/3, 162, 115, 43, 11, 7, 19
2022/11/4, 165, 111, 47, 12, 10, 19
2022/11/5, 163, 116, 58, 10, 13, 24
2022/11/6, 168, 112, 53, 11, 13, 22
2022/11/7, 168, 123, 45, 11, 11, 13
